headline,link,story_tag,story_class
INVESTIGACIONES DE LA UNIDAD,https://www.eltiempo.com/unidad-investigativa/investigaciones-de-la-unidad,div,paragraph
Exsecretario de Agricultura del Quindío habría empeñado camioneta oficial para pagar deuda de $140 millones,https://www.eltiempo.com/colombia/otras-ciudades/exsecretario-de-agricultura-del-quindio-habria-empenado-camioneta-oficial-para-pagar-deuda-de-140-millones-gobernacion-denuncio-posible-peculado-3537338,div,paragraph
"La administración activó controles disciplinarios, mientras el caso escala en plena antesala electoral.",https://www.eltiempo.com/colombia/otras-ciudades/exsecretario-de-agricultura-del-quindio-habria-empenado-camioneta-oficial-para-pagar-deuda-de-140-millones-gobernacion-denuncio-posible-peculado-3537338,div,paragraph
Tres soldados fueron asesinados en combates contra disidencias en Caquetá: fueron atacados cuando iban a un punto del despliegue del Plan Democracia,https://www.eltiempo.com/colombia/otras-ciudades/atencion-tres-soldados-fueron-asesinados-y-otro-resulto-herido-en-un-ataque-de-las-disidencias-farc-en-cartagena-del-chaira-caqueta-esto-se-sabe-3537191,div,paragraph
¿Cuál es el plan para recuperar parque Tayrona durante su reapertura? Esta es la millonaria inversión tras crisis,https://www.eltiempo.com/colombia/otras-ciudades/la-millonaria-inversion-que-tendra-el-parque-tayrona-en-su-reapertura-recuperaran-senderos-afectados-por-lluvias-y-ejecutaran-proyecto-de-ecoturismo-3537281,div,paragraph
Revelan lo que pasó a los cinco menores sin rastro en el Valle y el Cauca,https://www.eltiempo.com/colombia/cali/casos-de-ninos-y-adolescentes-desaparecidos-en-cauca-y-valle-revelan-lo-que-paso-a-los-cinco-menores-sin-rastro-en-caldono-en-el-norte-caucano-3537331,div,paragraph
Carolina Bohórquez Ramírez,https://www.eltiempo.com/autor/carolina-bohorquez-ramirez,div,paragraph
Preacuerdo evitó juicio de pastor cristiano que cavaba hueco para enterrar a hijastra: abogado explicó la condena,https://www.eltiempo.com/colombia/otras-ciudades/el-preacuerdo-que-evito-juicio-del-pastor-cristiano-que-cavaba-hueco-para-enterrar-a-su-hijastra-en-caldas-abogado-conto-como-se-sello-la-condena-3537322,div,paragraph
La renuncia a la mesa de paz urbana y la guerra fría entre capos en Medellín que impidió el asesinato de mexicano,https://www.eltiempo.com/colombia/medellin/la-renuncia-a-la-mesa-de-paz-urbana-y-la-guerra-fria-entre-capos-en-medellin-que-impidio-el-asesinato-de-un-mexicano-a-manos-de-la-oficina-premium-3537309,div,paragraph
Conozca la red de formación creada para fortalecer la productividad,https://www.eltiempo.com/mas-contenido/conozca-la-red-de-formacion-creada-para-fortalecer-la-productividad-3537025,div,paragraph
"Líderes empresariales, llamados a lograr que el país siga viendo futuro",https://www.eltiempo.com/economia/sectores/lideres-empresariales-llamados-a-lograr-que-el-pais-siga-viendo-futuro-3486319,div,paragraph
CGES: el cerebro de la inteligencia para combatir el crimen,https://www.eltiempo.com/mas-contenido/cges-el-cerebro-de-la-inteligencia-para-combatir-el-crimen-3536134,div,paragraph
El campo escucha a Claudia López | Publicidad política pagada,https://www.eltiempo.com/publicidad-politica-pagada/el-campo-escucha-a-claudia-lopez-publicidad-politica-pagada-3537190,div,paragraph
PUBLICIDAD POLÍTICA PAGADA,https://www.eltiempo.com/autor/contenido-publicitario,div,paragraph
Papá con su hijo en brazos fue atracado de manera violenta en Santa Marta,https://www.eltiempo.com/colombia/otras-ciudades/papa-con-su-hijo-en-brazos-fue-atracado-de-manera-violenta-en-santa-marta-3537595,div,paragraph
"Capturan en Bogotá a alias ‘Choco’, presunto implicado en la muerte de la niña de 11 años alcanzada por una bala perdida en Baranoa (Atlántico)",https://www.eltiempo.com/colombia/barranquilla/capturan-en-bogota-a-alias-choco-presunto-implicado-en-la-muerte-de-la-nina-de-11-anos-alcanzada-por-una-bala-perdida-en-baranoa-atlantico-3537607,div,paragraph
Camilo Andrés Álvarez Peñaloza,https://www.eltiempo.com/autor/camilo-andres-alvarez-penaloza,div,paragraph
"Las fotos inéditas, el millonario pago a Cuba Gooding Jr. y los detalles de polémica película sobre el almirante Padilla impulsada por Gobierno Petro",https://www.eltiempo.com/colombia/otras-ciudades/un-actor-ganador-del-oscar-fotos-ineditas-de-la-produccion-y-detalles-de-polemica-pelicula-sobre-el-almirante-padilla-impulsada-por-el-gobierno-petro-3537592,div,paragraph
Video | Así quedó una ambulancia en Antioquia tras aparatoso choque en la vía Cisneros - Puerto Berrío: hay cuatro personas heridas,https://www.eltiempo.com/colombia/medellin/video-asi-quedo-una-ambulancia-en-antioquia-tras-aparatoso-choque-en-la-via-cisneros-puerto-berrio-hay-cuatro-personas-heridas-3537587,div,paragraph
"¿Quién era Sebastián Loaiza, el exsoldado colombiano que murió en Dubái en medio de bombardeos entre Irán, Estados Unidos e Israel?",https://www.eltiempo.com/mundo/medio-oriente/quien-era-sebastian-loaiza-el-exsoldado-colombiano-que-murio-en-dubai-en-medio-de-bombardeos-entre-iran-estados-unidos-e-israel-3537524,div,paragraph
Andrés Felipe Bejarano Bejarano,https://www.eltiempo.com/autor/andres-felipe-bejarano-bejarano,div,paragraph
"¿Quién es Misael Augusto Villarreal, exconcejal de Montelíbano (Córdoba), capturado con más de $434 millones previo a elecciones a Congreso?",https://www.eltiempo.com/colombia/otras-ciudades/quien-es-misael-augusto-villarreal-exconcejal-de-montelibano-cordoba-capturado-con-mas-de-434-millones-previo-a-elecciones-a-congreso-3537544,div,paragraph
